㐖毒	xiédú
曲附	qǔfù
曲陈	qǔchén
曲陌	qǔmò
曲降	qǔjiàng
曲院	qǔyuàn
曲隅	qǔyú
曲隈	qǔwēi
曲隐	qǔyǐn
曲霉	qūméi
曲霉毒素	qǔméidúsù
曲靖	qǔjìng
曲靖地区	qǔjìngdìqū
曲靖市	qǔjìngshì
曲静	qǔjìng
曲面	qūmiàn
曲面论	qūmiànlùn
曲鞠	qǔjū
曲韵	qǔyùn
曲頞	qǔè
曲须	qǔxū
曲顾	qǔgù
曲领	qǔlǐng
曲颈瓶	qūjǐngpíng
曲颈甑	qūjǐngzèng
曲颐	qǔyí
曲饰	qǔshì
曲饼	qūbǐng
曲高和寡	qǔgāohèguǎ
曲鬯	qǔchàng
曲鳝	qūshàn
曲麻莱	qǔmálái
曲麻莱县	qǔmáláixiàn
曳光弹	yèguāngdàn
曳剌	yèlà
曳地	yèdì
曳尾	yèwěi
曳尾泥涂	yèwěinítú
曳尾涂中	yèwěitúzhōng
曳尾鹱	yèwěihù
曳尾龟	yèwěiguī
曳引车	yèyǐnchē
曳撒	yèsā
曳瑟知林	yèsèzhīlín
曳练椒房	yèliànjiāofáng
曳落河	yèluòhé
曳行	yèxíng
曳裾王门	yèjūwángmén
曳长	yècháng
曳革	yègé
更上一层楼	gèngshàngyīcénglóu
更不幸地	gèngbùxìngde
更且	gēngqiě
更世	gēngshì
更严重地	gèngyánzhòngde
更为	gèngwéi
更事	gēngshì
更互	gēnghù
更人	gēngrén
更仆	gēngpú
更仆数	gēngpúshù
更仆难尽	gèngpúnánjìn
更仆难数	gēngpúnánshǔ
更仆难终	gēngpúnánzhōng
更代	gēngdài
更令明号	gēnglìngmínghào
更休	gēngxiū
更做	gēngzuò
更做到	gēngzuòdào
更做道	gēngzuòdào
更傜	gēngyáo
更元	gēngyuán
更全面地	gèngquánmiànde
更兴	gēngxīng
更其	gèngqí
更兼	gēngjiān
更准确地	gèngzhǔnquède
更准确地说	gèngzhǔnquèdeshuō
更则道	gēngzédào
更初	gēngchū
更制	gēngzhì
更加	gèngjiā
更加地	gèngjiāde
更加地快	gèngjiādekuài
更加地爱	gèngjiādeài
更动	gēngdòng
更努力地	gèngnǔlìde
更化	gēnghuà
更卒	gēngzú
更博	gēngbó
更历	gēnglì
更变	gēngbiàn
更可取地	gèngkěqǔde
更号	gēnghào
更名	gēngmíng
更名改姓	gēngmínggǎixìng
更向前地	gèngxiàngqiánde
更唱叠和	gēngchàngdiéhé
更唱迭和	gēngchàngdiéhé
更坊	gēngfāng
更坏地	gènghuàide
更坚决地	gèngjiānjuéde
更多地	gèngduōde
更多地关心	gèngduōdeguānxīn
更多地关注	gèngduōdeguānzhù
更多地在	gèngduōdezài
更多地放在	gèngduōdefàngzài
更多地是	gèngduōdeshì
更多地是为了	gèngduōdeshìwèile
更多地是在	gèngduōdeshìzài
更多地用	gèngduōdeyòng
更多地留给	gèngduōdeliúgěi
更夜	gēngyè
更夫	gēngfū
更头	gēngtóu
更好地	gènghǎode
更好地为	gènghǎodewèi
更好地了解	gènghǎodeliǎojiě
更好地代表	gènghǎodedàibiǎo
更好地体现了	gènghǎodetǐxiànle
更好地体验	gènghǎodetǐyàn
更好地使用	gènghǎodeshǐyòng
更好地促进	gènghǎodecùjìn
更好地兼容	gènghǎodejiānróng
更好地分享	gènghǎodefēnxiǎng
更好地去	gènghǎodeqù
更好地发展	gènghǎodefāzhǎn
更好地发挥	gènghǎodefāhuī
更好地完成任务	gènghǎodewánchéngrènwù
更好地实现	gènghǎodeshíxiàn
更好地应付	gènghǎodeyìngfù
更好地引导	gènghǎodeyǐndǎo
更好地把握	gènghǎodebǎwò
更好地控制	gènghǎodekòngzhì
更好地推动	gènghǎodetuīdòng
更好地改进	gènghǎodegǎijìn
更好地活着	gènghǎodehuózhe
更好地满足	gènghǎodemǎnzú
更好地生存	gènghǎodeshēngcún
更好地维护	gènghǎodewéihù
更好地解决	gènghǎodejiějué
更好地配合	gènghǎodepèihé
更妆	gēngzhuāng
更始	gēngshǐ
更姓改物	gēngxìnggǎiwù
更嫁	gēngjià
更嬗	gēngshàn
更嬴	gēngyíng
更定	gēngdìng
更害	gēnghài
更少地	gèngshǎode
更尝	gēngcháng
更居	gēngjū
更履	gēnglǚ
更巡	gēngxún
更年期	gēngniánqī
更年期综合征	gēngniánqīzōnghézhēng
更广泛地	gèngguǎngfànde
更张	gēngzhāng
更弦改辙	gēngxiángǎizhé
更弦易辙	gēngxiányìzhé
更彻底地分开	gèngchèdǐdefēnkāi
更待干罢	gèngdàigānbà
更徙	gēngxǐ
更快地	gèngkuàide
更快地找到	gèngkuàidezhǎodào
更快地输入	gèngkuàideshūrù
更快地适应	gèngkuàideshìyìng
更快更好地	gèngkuàigènghǎode
更恶劣地	gèngèliède
更愉快地	gèngyúkuàide
更戍	gēngshù
更成	gēngchéng
更成功地	gèngchénggōngde
更房	gēngfáng
更换	gēnghuàn
更授	gēngshòu
更改	gēnggǎi
更新	gēngxīn
更新世	gēngxīnshì
更新换代	gēngxīnhuàndài
更新版	gēngxīnbǎn
更日	gēngrì
更易	gēngyì
更是	gèngshì
更更	gēnggēng
更替	gēngtì
更有力地	gèngyǒulìde
更有效地	gèngyǒuxiàode
更有甚者	gèngyǒushènzhě
更期	gēngqī
更楼	gēnglóu
更次	gēngcì
更正	gēngzhèng
更正确地	gēngzhèngquède
更正错误	gēngzhèngcuòwù
更步	gēngbù
更法	gēngfǎ
更涉	gēngshè
更深	gēngshēn
更深人静	gēngshēnrénjìng
更深入地	gēngshēnrùde
更深刻地	gēngshēnkède
更深地	gēngshēnde
更深夜静	gēngshēnyèjìng
更漏	gēnglòu
更漏子	gēnglòuzǐ
更点	gēngdiǎn
更爽	gēngshuǎng
更版	gēngbǎn
更王	gēngwáng
更生	gēngshēng
更番	gēngfān
更直	gēngzhí
更相	gēngxiāng
更确切地	gèngquèqiède
更确切地说	gèngquèqièdeshuō
更移	gēngyí
更窜	gēngcuàn
更立	gēnglì
更端	gēngduān
更筹	gēngchóu
更签	gēngqiān
更箭	gēngjiàn
更粗劣地	gèngcūliède
更精确地	gèngjīngquède
更精确地说	gèngjīngquèdeshuō
更紧密地合作	gèngjǐnmìdehézuò
更练	gēngliàn
更续	gēngxù
更缓慢地	gènghuǎnmànde
更置	gēngzhì
更羸	gēngléi
更老	gēnglǎo
更胜	gèngshèng
更胜一筹	gèngshèngyīchóu
更自	gēngzì
更自觉地	gèngzìjuéde
更苏	gēngsū
更若役	gengruoyu
更葬	gēngzàng
更虑	gēnglǜ
更行	gēngxíng
更衣	gēngyī
更衣室	gēngyīshì
更衣曲	gēngyīqǔ
更要好好地	gèngyāohǎohǎode
更覆	gēngfù
更议	gēngyì
更详细地	gèngxiángxìde
更调	gēngdiào
更谨慎地	gèngjǐnshènde
更赋	gēngfù
更践	gēngjiàn
更轻松地	gèngqīngsōngde
更轻松地访问	gèngqīngsōngdefǎngwèn
更辛苦地	gèngxīnkǔde
更进一步	gèngjìnyíbù
更进一竿	gèngjìnyīgān
更远地	gèngyuǎnde
更迭	gēngdié
更适	gēngshì
更选	gēngxuǎn
更递	gēngdì
更造	gēngzào
更钥	gēngyuè
更锣	gēngluó
更长梦短	gēngchángmèngduǎn
更阑	gēnglán
更阑人静	gēnglánrénjìng
更难仆数	gēngnánpúshù
更雄伟地	gèngxióngwěide
更革	gēnggé
更香	gēngxiāng
更高性能	gēnggāoxìngnéng
更鼓	gēnggǔ
曶曶	hūhū
曶霍	hūhuò
曶鼎	hūdǐng
曷为	héwéi
曷苏馆	hésūguǎn
曷若	héruò
曹不兴	cáobùxīng
曹冲	cáochōng
曹县	cáoxiàn
曹参	cáocān
曹大家	cáodàgū
曹好	cáohǎo
曹孙	cáosūn
曹属	cáoshǔ
曹干	cáogàn
曹恶	cáoè
曹沈	cáoshěn
曹牟	cáomù
曹王	cáowáng
曹瞒	cáomán
曹禺	cáoyú
曹郎	cáoláng
曹长	cáocháng
曹靖华	cáojìnghuá
曼丽	mànlì
曼切斯特	mànqiēsītè
曼哈坦	mànhātǎn
曼哈顿	mànhādùn
曼哈顿区	mànhādùnqū
曼头	màntóu
曼妥思	màntuǒsī
曼彻斯特维多利亚大学	mànchèsītèwéiduōlìyàdàxué
曼德勒	màndélè
曼德拉	màndélā
曼泽	mànzé
曼珠沙华	mànzhūshāhuā
曼绰	mànchuò
曼苏尔	mànsūěr
曼荷莲女子学院	mànhéliánnǚzǐxuéyuàn
曼语	mànyǔ
曼谷	màngǔ
曼都	màndōu
曼长	màncháng
曾不惨然	zēngbùcǎnrán
曾乔	zēngqiáo
曾云	zēngyún
曾伤	zēngshāng
曾几何时	céngjǐhéshí
曾加	zēngjiā
曾华	zēnghuá
曾参	zēngshēn
曾参杀人	zēngshēnshārén
曾史	zēngshǐ
曾国荃	zēngguóquán
曾国藩	zēngguófān
曾坑	zēngkēng
曾城	zēngchéng
曾外祖母	zēngwàizǔmǔ
曾外祖父	zēngwàizǔfù
曾大父	zēngdàfù
曾子	zēngzǐ
曾孙	zēngsūn
曾孙女	zēngsūnnǚ
曾孝谷	zēngxiàogǔ
曾岭	zēnglǐng
曾崖	zēngyá
曾巅	zēngdiān
曾巢	zēngcháo
曾巩	zēnggǒng
曾庆红	zēngqìnghóng
曾思	zēngsī
曾恐惧地	céngkǒngjùde
曾折	zēngshé
曾挠	zēngnáo
曾掖	zēngyè
曾无与二	céngwúyǔèr
曾明确地	céngmíngquède
曾晖	zēnghuī
曾曲	zēngqǔ
曾朴	zēngpǔ
曾标	zēngbiāo
曾母投杼	zēngmǔtóuzhù
曾泉	zēngquán
曾波	zēngbō
曾潭	zēngtán
曾父	zēngfù
曾玄	zēngxuán
曾王父	zēngwángfù
曾祖	zēngzǔ
曾祖妣	zēngzǔbǐ
曾祖母	zēngzǔmǔ
曾祖父	zēngzǔfù
曾祖父母	zēngzǔfùmǔ
曾祖王母	zēngzǔwángmǔ
曾祖王父	zēngzǔwángfù
曾祝	zēngzhù
曾穹	zēngqióng
曾空	zēngkōng
曾累	zēnglèi
曾繁仁	zēngfánrén
曾纪泽	zēngjìzé
曾经	céngjīng
曾经沧海	céngjīngcānghǎi
曾翁	zēngwēng
曾臣	zēngchén
曾茧	zēngjiǎn
曾荫权	zēngyìnquán
曾辉煌地	cénghuīhuángde
曾逝	zēngshì
曾都	zēngdū
曾都区	zēngdūqū
曾金燕	zēngjīnyàn
曾门	zēngmén
曾闳	zēnghóng
曾闵	zēngmǐn
曾阴	zēngyīn
曾阿	zēngā
曾青	zēngqīng
曾颊	zēngjiá
曾颜	zēngyán
曾颠	zēngdiān
曾飔	zēngsī
曾飙	zēngbiāo
替古人担忧	tìgǔréndānyōu
替坏	tìhuài
替天行道	tìtiānxíngdào
替头	tìtóu
替差	tìchà
替当	tìdāng
替罪羊	tìzuìyáng
替罪羔羊	tìzuìgāoyáng
替补队员	tìbǔduìyuán
替角	tìjué
替角儿	tìjuéer
替解	tìjiě
替身演员	tìshēnyǎnyuán
最上乘	zuìshàngchéng
最上地	zuìshàngde
最下位地	zuìxiàwèide
最下面地	zuìxiàmiànde
最不发达国家	zuìbùfādáguójiā
最为	zuìwéi
最乱地	zuìluànde
最优化	zuìyōuhuà
最优地	zuìyōude
最低谷	zuìdīgǔ
最低限度	zuìdīxiàndù
最低限度理论	zuìdīxiàndùlǐlùn
最佳化	zuìjiāhuà
最佳地	zuìjiāde
最决定地	zuìjuédengde
最初地	zuìchūde
最可觞客	zhuikeshangke
最名地	zuìmíngde
最后地	zuìhòude
最后期限	zuìhòuqīxiàn
最后的审判	zuìhòudeshěnpàn
最后的晚餐	zuìhòudewǎncān
最坏地	zuìhuàide
最大似然估计	zuìdàsìrángūjì
最大值	zuìdàzhí
最大公因子	zuìdàgōngyīnzǐ
最大公约数	zuìdàgōngyuēshù
最大化	zuìdàhuà
最大可能地	zuìdàkěnéngde
最大地	zuìdàde
最大程度地	zuìdàchéngdùde
最大速率	zuìdàsùlǜ
最大限度地	zuìdàxiàndùde
最大限度地减少	zuìdàxiàndùdejiǎnshǎo
最好	zuìhǎo
最好地	zuìhǎode
最好地发展	zuìhǎodefāzhǎn
最害地	zuìhàide
最小二乘	zuìxiǎoèrchéng
最小公倍数	zuìxiǎogōngbèishù
最小公分母	zuìxiǎogōngfēnmǔ
最小化	zuìxiǎohuà
最少	zuìshǎo
最年长	zuìniánzhǎng
最度地	zuìdùde
最强地	zuìqiángde
最快地	zuìkuàide
最快捷地	zuìkuàijiéde
最性地	zuìxìngde
最惠国待遇	zuìhuìguódàiyù
最效地	zuìxiàode
最新地	zuìxīnde
最有效地	zuìyǒuxiàode
最理想地	zuìlǐxiǎngde
最简分数	zuìjiǎnfēnshù
最终地	zuìzhōngde
最缺点地	zuìquēdiǎnde
最能	zuìnéng
最能上地	zuìnéngshàngde
最节制地	zuìjiézhìde
最观	zuìguān
最趣地	zuìqùde
最近几年	zuìjìnjǐnián
最近地	zuìjìnde
最远	zuìyuǎn
最适宜地	zuìshìyíde
最长期地	zuìchángqīde
最雄辩地证明	zuìxióngbiàndezhèngmíng
朅休	qièxiū
朅伽	qièjiā
朅朅	qièqiè
朅来	qièlái
月上	yuèshàng
月中	yuèzhōng
月中人	yuèzhōngrén
月中兔	yuèzhōngtù
月中折桂	yuèzhōngshéguì
月中桂	yuèzhōngguì
月产量	yuèchǎnliàng
月亮女神号	yuèliangnǚshénhào
月令	yuèlìng
月份	yuèfèn
月份会议	yuèfènhuìyì
月份牌	yuèfènpái
月份牌儿	yuèfènpáier
月会	yuèhuì
月佣	yuèyōng
月供	yuègōng
月信	yuèxìn
月候血	yuèhòuxuè
月偏食	yuèpiānshí
月光期	yuèguāngqī
月光石	yuèguāngshí
月光隐遁	yuèguāngyǐndùn
月全食	yuèquánshí
月分	yuèfèn
月华	yuèhuá
月台	yuètái
月台幕门	yuètáimùmén
月台票	yuètáipiào
月圆花好	yuèyuánhuāhǎo
月地云阶	yuèdìyúnjiē
月场	yuèchǎng
月坠花折	yuèzhuìhuāzhé
月夕花朝	yuèxīhuāzhāo
月夜花朝	yuèyèhuāzhāo
月大	yuèdà
月头	yuètóu
月头儿	yuètouer
月头银	yuètóuyín
月女神	yuènǚshén
月妃	yuèfēi
月子房	yuèzǐfáng
月孛	yuèbèi
月家疾	yuèjiājí
月将	yuèjiāng
月尽	yuèjìn
月尾	yuèwěi
月底	yuèdǐ
月度	yuèdù
月影台	yuèyǐngtái
月房	yuèfáng
月扇	yuèshàn
月数	yuèshù
月晕	yuèyùn
月晕知风	yuèyūnzhīfēng
月晕础润	yuèyùnchǔrùn
月晕而风	yuèyùnérfēng
月月红	yuèyuèhóng
月朗风清	yuèlǎngfēngqīng
月朝	yuècháo
月校	yuèxiào
月桂冠	yuèguìguān
月桂叶	yuèguìyè
月桂树叶	yuèguìshùyè
月梢	yuèshāo
月棱	yuèléng
月棱眉	yuèléngméi
月正	yuèzhèng
月氏	yuèzhī
月没参横	yuèmòshēnhéng
月湖区	yuèhúqū
月王	yuèwáng
月球车	yuèqiúchē
月白风清	yuèbáifēngqīng
月盈则食	yuèyíngzéshí
月盲症	yuèmángzhèng
月相	yuèxiàng
月石	yuèshí
月研	yuèyán
月票	yuèpiào
月祭	yuèjì
月章星句	yuèzhāngxīngjù
月笼	yuèlóng
月纪	yuèjì
月给	yuègěi
月缺难圆	yuèquēnányuán
月脉	yuèmài
月脚	yuèjiǎo
月色	yuèsè
月节	yuèjié
月落乌啼	yuèluòwūtí
月落参横	yuèluòshēnhéng
月落星沈	yuèluòxīngshěn
月落星沉	yuèluòxīngchén
月蛤	yuègé
月要	yuèyào
月观	yuèguān
月角	yuèjiǎo
月车	yuèchē
月重轮	yuèzhònglún
月间	yuèjiān
月阙	yuèquē
月陂	yuèbēi
月露	yuèlù
月露之体	yuèlùzhītǐ
月露风云	yuèlùfēngyún
月食	yuèshí
月魄	yuèpò
月黑风高	yuèhēifēnggāo
有一些	yǒuyīxiē
有一分热	yǒuyīfēnrè
有一利即有一弊	yǒuyīlìjíyǒuyībì
有一利必有一弊	yǒuyīlìbìyǒuyībì
有一句没一句	yǒuyījùméiyījù
有一只	yǒuyīzhī
有一天	yǒuyītiān
有一套	yǒuyītào
有一得一	yǒuyīdéyī
有一手	yǒuyīshǒu
有一手儿	yǒuyīshǒuer
有一搭无一搭	yǒuyīdāwúyīdā
有一搭没一搭	yǒuyīdāméiyīdā
有一无二	yǒuyīwúèr
有一次	yǒuyīcì
有一点	yǒuyīdiǎn
有一点儿	yǒuyīdiǎner
有一腿	yǒuyītuǐ
有一说一	yǒuyīshuōyī
有丁点地	yǒudīngdiǎnde
有三有俩	yǒusānyǒuliǎng
有上梢没下梢	yǒushàngshāoméixiàshāo
有上稍没下稍	yǒushàngshāoméixiàshāo
有不少名堂	yǒubùshǎomíngtang
有丝分裂	yǒusīfēnliè
有两下子	yǒuliǎngxiàzi
有两手	yǒuliǎngshǒu
有两日	yǒuliǎngrì
有中国特色的社会主义	yǒuzhōngguótèshǎideshèhuìzhǔyì
有为	yǒuwéi
有为有守	yǒuwéiyǒushǒu
有为法	yǒuwéifǎ
有主	yǒuzhǔ
有主见	yǒuzhǔjiàn
有了	yǒule
有了存孝	yǒulecúnxiào
有了胎	yǒuletāi
有事	yǒushì
有事之秋	yǒushìzhīqiū
有二说二	yǒuèrshuōèr
有于	yǒuyú
有亏职守	yǒukuīzhíshǒu
有些	yǒuxiē
有些人	yǒuxiērén
有些遗憾地	yǒuxiēyíhànde
有亡	yǒuwáng
有产者	yǒuchǎnzhě
有亲	yǒuqīn
有人	yǒurén
有人家	yǒurénjiā
有人家儿	yǒurénjiāér
有人情	yǒurénqíng
有人想你	yǒurénxiǎngnǐ
有仇不报非君子	yǒuchóubùbàofēijūnzǐ
有仇报仇	yǒuchóubàochóu
有仍	yǒuréng
有代表性地	yǒudàibiǎoxìngde
有以	yǒuyǐ
有以善处	yǒuyǐshànchǔ
有价值	yǒujiàzhí
有价值地	yǒujiàzhíde
有价证券	yǒujiàzhèngquàn
有份	yǒufèn
有会儿	yǒuhuìer
有会子	yǒuhuìzǐ
有伤风化	yǒushāngfēnghuà
有伦	yǒulún
有似	yǒusì
有位	yǒuwèi
有住	yǒuzhù
有体	yǒutǐ
有何	yǒuhé
有何贵干	yǒuhéguìgàn
有何面目	yǒuhémiànmù
有余	yǒuyú
有余地	yǒuyúde
有作其芒	yǒuzuòqímáng
有作用	yǒuzuòyòng
有你没我	yǒunǐméiwǒ
有你的	yǒunǐde
有侁	yǒushēn
有例不兴	yǒulìbùxīng
有例可援	yǒulìkěyuán
有侠	yǒuxiá
有便	yǒubiàn
有保留地	yǒubǎoliúde
有信	yǒuxìn
有信心地	yǒuxìnxīnde
有借无还	yǒujièwúhuán
有偿	yǒucháng
有偿新闻	yǒuchángxīnwén
有光泽地	yǒuguāngzéde
有光纸	yǒuguāngzhǐ
有全权地	yǒuquánquánde
有关	yǒuguān
有关各方	yǒuguāngèfāng
有关电地	yǒuguāndiànde
有关联	yǒuguānlián
有关联地	yǒuguānliánde
有关连地	yǒuguānliánde
有兴	yǒuxīng
有兴味地	yǒuxìngwèide
有兴趣	yǒuxìngqù
有兴趣地	yǒuxìngqùde
有其父必有其子	yǒuqífùbìyǒuqízǐ
有冤报冤	yǒuyuānbàoyuān
有冯有翼	yǒupíngyǒuyì
有决心	yǒujuéxīn
有准备地	yǒuzhǔnbèide
有几下子	yǒujǐxiàzǐ
有几分	yǒujǐfēn
有几分地	yǒujǐfēnde
有凤来仪	yǒufèngláiyí
有凭有据	yǒupíngyǒujù
有分	yǒufèn
有分交	yǒufènjiāo
有分教	yǒufènjiào
有则改之	yǒuzégǎizhī
有创造力	yǒuchuàngzàolì
有利	yǒulì
有利于	yǒulìyú
有利可图	yǒulìkětú
有利地	yǒulìde
有利有弊	yǒulìyǒubì
有利益地	yǒulìyìde
有别	yǒubié
有剧毒地	yǒujùdúde
有力	yǒulì
有力地	yǒulìde
有力地打击	yǒulìdedǎjī
有力地推动	yǒulìdetuīdòng
有力地证明	yǒulìdezhèngmíng
有力地说	yǒulìdeshuō
有办法	yǒubànfǎ
有功	yǒugōng
有加	yǒujiā
有加无已	yǒujiāwúyǐ
有助	yǒuzhù
有助于	yǒuzhùyú
有助地	yǒuzhùde
有助益地	yǒuzhùyìde
有劲	yǒujìn
有劳	yǒuláo
有劳得奖	yǒuláodéjiǎng
有勇无谋	yǒuyǒngwúmóu
有勇有谋	yǒuyǒngyǒumóu
有勇气地	yǒuyǒngqìde
有勇知方	yǒuyǒngzhīfāng
有北	yǒuběi
有区别地	yǒuqūbiéde
有卑	yǒubēi
有印象	yǒuyìnxiàng
有却	yǒuquè
有原因地	yǒuyuányīnde
有去无回	yǒuqùwúhuí
有及	yǒují
有发头陀寺	yǒufātóutuósì
有变	yǒubiàn
有口	yǒukǒu
有口无心	yǒukǒuwúxīn
有口无行	yǒukǒuwúxíng
有口皆碑	yǒukǒujiēbēi
有口舌	yǒukǒushé
有口难分	yǒukǒunánfēn
有口难言	yǒukǒunányán
有口难辩	yǒukǒunánbiàn
有古	yǒugǔ
有可能	yǒukěnéng
有史以来	yǒushǐyǐlái
有司	yǒusī
有同	yǒutóng
有名	yǒumíng
有名亡实	yǒumíngwángshí
有名地	yǒumíngde
有名无实	yǒumíngwúshí
有名誉地	yǒumíngyùde
有后	yǒuhòu
有向顺	yǒuxiàngshùn
有吕	yǒulǚ
有吸引力地	yǒuxīyǐnlìde
有周	yǒuzhōu
有味	yǒuwèi
有味儿	yǒuwèier
有命	yǒumìng
有商	yǒushāng
有商有量	yǒushāngyǒuliàng
有喜	yǒuxǐ
有嘴无心	yǒuzuǐwúxīn
有嘴没心	yǒuzuǐméixīn
有嘴没舌	yǒuzuǐméishé
有因	yǒuyīn
有因果地	yǒuyīnguǒde
有国有家者	yǒuguóyǒujiāzhě
有国难投	yǒuguónántóu
有土	yǒutǔ
有型	yǒuxíng
有垢	yǒugòu
有增无减	yǒuzēngwújiǎn
有增无已	yǒuzēngwúyǐ
有增无损	yǒuzēngwúsǔn
有声	yǒushēng
有声书	yǒushēngshū
有声带	yǒushēngdài
有声无实	yǒushēngwúshí
有声无气	yǒushēngwúqì
有声有色	yǒushēngyǒusè
有声没气	yǒushēngméiqì
有声电影	yǒushēngdiànyǐng
有声画	yǒushēnghuà
有声盒带	yǒushēnghédài
有声读物	yǒushēngdúwù
有处	yǒuchǔ
有备无患	yǒubèiwúhuàn
有备而来	yǒubèiérlái
有夏	yǒuxià
有多么地在乎你	yǒuduōmedezàihūnǐ
有够	yǒugòu
有天无日	yǒutiānwúrì
有天没日	yǒutiānméirì
有天没日头	yǒutiānméirìtóu
有夫之妇	yǒufūzhīfù
有失	yǒushī
有失厚道	yǒushīhòudao
有失身份	yǒushīshēnfèn
有失远迎	yǒushīyuǎnyíng
有头无尾	yǒutóuwúwěi
有头无脑	yǒutóuwúnǎo
有头有尾	yǒutóuyǒuwěi
有头有脑	yǒutóuyǒunǎo
有头有脸	yǒutóuyǒuliǎn
有头没脑	yǒutóuméinǎo
有头脑	yǒutóunǎo
有头脸	yǒutóuliǎn
有奇	yǒujī
有奖	yǒujiǎng
有奖销售	yǒujiǎngxiāoshòu
有奬储蓄	yǒujiǎngchǔxù
有奬公债	yǒujiǎnggōngzhài
有女怀春	yǒunǚhuáichūn
有奶便是娘	yǒunǎibiànshìniáng
有奶便认娘	yǒunǎibiànrènniáng
有奶就是娘	yǒunǎijiùshìniáng
有奸	yǒujiān
有如	yǒurú
有如皦日	yǒurújiǎorì
有妇之夫	yǒufùzhīfū
有始无终	yǒushǐwúzhōng
有始有卒	yǒushǐyǒuzú
有始有终	yǒushǐyǒuzhōng
有姚	yǒuyáo
有娀	yǒusōng
有娠	yǒushēn
有子万事足	yǒuzǐwànshìzú
有子存焉	yǒuzǐcúnyān
有孔虫	yǒukǒngchóng
有学问	yǒuxuéwèn
有学问地	yǒuxuéwènde
有守	yǒushǒu
有宋	yǒusòng
有宗	yǒuzōng
有宝何必人前夸	yǒubǎohébìrénqiánkuā
有室	yǒushì
有害	yǒuhài
有害地	yǒuhàide
有害无利	yǒuhàiwúlì
有害无益	yǒuhàiwúyì
有家	yǒujiā
有家难奔	yǒujiānánbēn
有容	yǒuróng
有尺水行尺船	yǒuchǐshuǐxíngchǐchuán
有局	yǒujú
有局地	yǒujúde
有屁快放	yǒupìkuàifàng
有巢氏	yǒucháoshì
有差	yǒuchà
有差别地	yǒuchābiéde
有差错地	yǒuchācuòde
有己无人	yǒujǐwúrén
有希望	yǒuxīwàng
有希望地	yǒuxīwàngde
有帮助	yǒubāngzhù
有帮助地	yǒubāngzhùde
有常识地	yǒuchángshíde
有年	yǒunián
有年头	yǒuniántou
有年无月	yǒuniánwúyuè
有年纪	yǒuniánjì
有幸	yǒuxìng
有序	yǒuxù
有序化	yǒuxùhuà
有底	yǒudǐ
有庳	yǒubì
有弇	yǒuyān
有张没智	yǒuzhāngméizhì
有弱点地	yǒuruòdiǎnde
有弹性	yǒutánxìng
有弹性地	yǒutánxìngde
有当	yǒudāng
有形	yǒuxíng
有形地	yǒuxíngde
有形损耗	yǒuxíngsǔnhào
有形进出口	yǒuxíngjìnchūkǒu
有影响	yǒuyǐngxiǎng
有征无战	yǒuzhēngwúzhàn
有待	yǒudài
有得	yǒudé
有得一比	yǒudéyībǐ
有得有失	yǒudéyǒushī
有德	yǒudé
有德者	yǒudézhě
有德行	yǒudéxíng
有心	yǒuxīn
有心人	yǒuxīnrén
有心力	yǒuxīnlì
有心无力	yǒuxīnwúlì
有心有意	yǒuxīnyǒuyì
有心眼	yǒuxīnyǎn
有志	yǒuzhì
有志不在年高	yǒuzhìbùzàiniángāo
有志之士	yǒuzhìzhīshì
有志无时	yǒuzhìwúshí
有志气	yǒuzhìqì
有志竟成	yǒuzhìjìngchéng
有志者事竟成	yǒuzhìzhěshìjìngchéng
有怀	yǒuhuái
有思	yǒusī
有性	yǒuxìng
有性地	yǒuxìngde
有性杂交	yǒuxìngzájiāo
有性生殖	yǒuxìngshēngzhí
有恃无恐	yǒushìwúkǒng
有恃毋恐	yǒushìwúkǒng
有恒	yǒuhéng
有息	yǒuxī
有恶臭地	yǒuèchòude
有悔	yǒuhuǐ
有悖于	yǒubèiyú
有情	yǒuqíng
有情人	yǒuqíngrén
有情人终成眷属	yǒuqíngrénzhōngchéngjuànshǔ
有情有义	yǒuqíngyǒuyì
有惊无险	yǒujīngwúxiǎn
有意	yǒuyì
有意义	yǒuyìyì
有意义地	yǒuyìyìde
有意图地	yǒuyìtúde
有意地	yǒuyìde
有意志	yǒuyìzhì
有意志地	yǒuyìzhìde
有意思	yǒuyìsi
有意思地	yǒuyìsīde
有意无意	yǒuyìwúyì
有意识	yǒuyìshí
有意识地	yǒuyìshíde
有感	yǒugǎn
有感而发	yǒugǎnérfā
有愧	yǒukuì
有慢	yǒumàn
有戎	yǒuróng
有戏	yǒuxì
有成	yǒuchéng
有成果地	yǒuchéngguǒde
有成绩地	yǒuchéngjìde
有我无人	yǒuwǒwúrén
有我没你	yǒuwǒméinǐ
有截	yǒujié
有所	yǒusuǒ
有所不同	yǒusuǒbùtóng
有所作为	yǒusuǒzuòwéi
有所得必有所失	yǒusuǒdébìyǒusuǒshī
有所益	yǒusuǒyì
有扈	yǒuhù
有手有脚	yǒushǒuyǒujiǎo
有才干	yǒucáigàn
有才无命	yǒucáiwúmìng
有才能地	yǒucáinéngde
有扔	yǒurēng
有把握地	yǒubǎwòde
有抽有长	yǒuchōuyǒucháng
有损	yǒusǔn
有损于	yǒusǔnyú
有损压缩	yǒusǔnyāsuō
有损无益	yǒusǔnwúyì
有据	yǒujù
有搞头	yǒugǎotou
